Категория;Название;Цена;Артикул;Картинка;описание
Платы;Ручка управления для газовых колонок BAXI SIG-2 11i, 11p, 14i (722304000);999 руб.;722304000;https://aquatermix.ru/image/cache/data-12345678-722304000-1-800x600.jpg;"
Артикул запчасти: 722304000"
Датчики, электроды;Датчик температуры NTC погружной для котлов BAXI (721309400) 710056200;1 006 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000011-721309400-800x600.jpg;"
Артикул запчасти: 721309400, 710056200"
Датчики, электроды;Датчик температуры NTC погружной для котлов BAXI Eco Four, Main Four и Westen Quasar D 24 (8435400) JJJ008435400;1 009 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8435400-800x600.jpg;"
Артикул запчасти: 8435400, JJJ008435400"
Гидравлические группы;Патрубок ГВС выпускной BAXI Main-5 (710508300);1 067 руб. 1 014 руб.;710508300;https://aquatermix.ru/image/cache/data-00000000000-710508300-1-800x600.jpg;"
Артикул запчасти: 710508300"
Датчики, электроды;Трубка с датчиком индикации температуры для газовых колонок BAXI SIG-2 11i, 14i (722304300);1 024 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-1baxi-722304300-1-800x600.jpg;"
Трубка с датчиком индикации температуры для газовых колонок BAXI моделей:"
Моторы, трехходовые клапаны;Тарелочка гидравлического переключателя в сборе для котлов BAXI Eco, Luna (5630270) JJJ005630270;1 026 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-5630270-21-800x600.jpg;"
Тарелочка гидравлического переключателя в сборе для настенных газовых котлов BAXI моделей:"
Инжекторы;Инжекторы для сжиженного газа в комплекте для котлов BAXI Slim 1.230, 2.230 (3607120) JJJ003607120;1 103 руб. 1 048 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12111111-3607130-800x600.jpg;"
	 "
Датчики, электроды;Кабель электрода контроля пламени для котлов BAXI (8511130);1 057 руб.;8511130;https://aquatermix.ru/image/cache/data-000000000001-8511130-1-800x600.jpg;"
Артикул запчасти: 8511130"
Краны;Кран наполнения системы в сборе для котлов BAXI Main Four (710224400);"1 731 руб. 1 090 руб.

Цена в бонусных баллах: 1090";710224400;https://aquatermix.ru/image/cache/data-0001111-710224400-1-800x600.jpg;"
Артикул запчасти: 710224400"
Краны;Кран слива для котлов BAXI (5652030);"1 095 руб.                
Цена в бонусных баллах: 1095";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001111-5652030-800x600.jpg;"
Артикул запчасти: 5652030, JJJ005652030"
Датчики, электроды;Датчик температуры NTC погружной универсальный для котлов BAXI, Westen, De Dietrich;1 100 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8434820-1-800x600.jpg;"
Датчик температуры NTC погружной для настенных и напольных газовых котлов BAXI моделей:"
Термоизоляция;Термоизоляционная панель передняя для котлов BAXI Slim (3202520);"1 600 руб. 1 105 руб.

Цена в бонусных баллах: 1105";3202520;https://aquatermix.ru/image/cache/data-0000000000-3202520-01.jpg-800x600.jpg;"
Артикул запчасти: 3202520"
Термоизоляция;Термоизоляционная панель передняя для котлов BAXI Slim (3203100);"1 600 руб. 1 105 руб.

Цена в бонусных баллах: 1105";3203100;https://aquatermix.ru/image/cache/data-0000000000-3203100-01.jpg-800x600.jpg;"
Артикул запчасти: 3203100"
Вентиляторы;Устройство (трубка) Вентури для котлов BAXI (5407050) JJJ005407050;1 164 руб. 1 105 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-5407050-21-800x600.jpg;"
Артикул запчасти: 5407050, JJJ005407050"
Вентиляторы;Устройство (трубка) Вентури для котлов BAXI (5413850) JJJ005413850;1 164 руб. 1 105 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-5413850-21-800x600.jpg;"
Артикул запчасти: 5413850, JJJ005413850"
Насосы;Воздухоотводчик автоматический TS для котлов BAXI (607290.A) JJJ000607290.A;1 149 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0001111-607290.a-1-800x600.jpg;"
Артикул запчасти: 607290.A, JJJ000607290.A"
Моторы, трехходовые клапаны;Мотор трехходового клапана для котлов BAXI (220101) 5694580, JJJ005694580, 5647340;"1 690 руб. 1 149 руб.

Цена в бонусных баллах: 1149";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000-220101-1-800x600.jpg;"
Артикул запчасти: 220101 (аналог 5694580, JJJ005694580, 5647340, JJJ005647340)"
Моторы, трехходовые клапаны;Мотор трехходового клапана Chunhui для котлов BAXI Eco Classic, Eco Nova (220101) 200025379, 5694581;"1 690 руб. 1 149 руб.

Цена в бонусных баллах: 1149";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000-220101-1-800x600.jpg;"
Eco Classic 10 F
Eco Classic 14 F
Eco Classic 18 F
	Eco Classic 24 F
Eco Nova 10 F
Eco Nova 14 F
Eco Nova 18 F
Eco Nova 24 F"
Термоизоляция;Термоизоляционная панель боковая для котлов BAXI (5213220);1 150 руб.;5213220;https://aquatermix.ru/image/cache/data-00000000000-5213220-01.jpg-800x600.jpg;"
Артикул запчасти: 5213220"
Гидравлические группы;Воздухоотводчик автоматический для BAXI (5652730);1 214 руб. 1 152 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-5652730-1-800x600.jpg;"
Артикул запчасти: 5652730, JJJ005652730"
Насосы;Конденсатор с крышкой 2 mF для двухскоростного циркуляционного насоса;1 190 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-condkr2sk-1-800x600.jpg;"
Конденсатор с крышкой 2 mF (микрофарада) для двухскоростных циркуляционных насосов Wilo"
Насосы;Конденсатор с крышкой 2 mF для односкоростного циркуляционного насоса;1 190 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-condkr1sk-1-800x600.jpg;"
Конденсатор с крышкой 2 mF (микрофарада) для односкоростных циркуляционных насосов Wilo и других"
Датчики, электроды;Манометр для котлов BAXI Eco Compact, Eco-5 Compact, Westen Pulsar E (710673600.TS);1 700 руб. 1 190 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-711252300.a-1-800x600.jpg;"
Артикул запчасти: 710673600.TS"
MAIN-5;Манометр для котлов BAXI Main-5 (711252300.TS);"1 700 руб. 1 190 руб.

Цена в бонусных баллах: 1190";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-711252300.a-1-800x600.jpg;"
Артикул запчасти: 711252300.A"
Моторы, трехходовые клапаны;Ремкомплект трехходового клапана TS для котлов BAXI (600750.600760.605760.620210);"1 600 руб. 1 190 руб.

Цена в бонусных баллах: 1190";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-600750.600760.605760.620210-1-800x600.jpg;"
Артикул запчасти: 600750.600760.605760.620210"
Термостаты, термопары;Термостат комнатный регулируемый IMIT ТАЗ (546070) 546070/B;1 190 руб.;546070;https://aquatermix.ru/image/cache/data-000000000001-546070-1-800x600.jpg;"
Артикул запчасти: 546070"
Моторы, трехходовые клапаны;Клапан предохранительный 3 бар для котлов BAXI (9950600) JJJ009950600;1 265 руб. 1 202 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-123-9950600-21-800x600.jpg;"
Артикул запчасти: 9950600, JJJ009950600"
Термоизоляция;Термоизоляционная панель задняя BAXI (5213280);1 225 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-5213280-01.jpg-800x600.jpg;"
Термоизоляционная панель задняя для настенных газовых котлов BAXI моделей:"
Датчики, электроды;Датчик температуры NTC накладной 14 мм для котлов BAXI Eco Compact, Eco-5 Compact, Main-5 (710666500);1 294 руб. 1 230 руб.;710666500;https://aquatermix.ru/image/cache/data-1213-710666500-21-800x600.jpg;"
Артикул запчасти: 710666500"
Датчики, электроды;Датчик температуры NTC накладной для котлов BAXI Eco-3, Eco-3 Compact, Luna-3, Luna-3 Comfort (8435360) JJJ008435360;1 294 руб. 1 230 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-8435360-21-800x600.jpg;"
Артикул запчасти: 8435360, JJJ008435360"
Термоизоляция;Термоизоляционная панель передняя для котлов BAXI (5213340);1 239 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000-5213340-800x600.jpg;"
Термоизоляционная панель передняя для газовых котлов BAXI"
Alphatherm;Ключ для регулировки газовых клапанов SIT 840/843/845 SIGMA (0.999.994.A);"1 700 руб. 1 249 руб.

Цена в бонусных баллах: 1249";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000011-990490-1-800x600.jpg;"
Артикул запчасти: 0.999.994.A"
Термоизоляция;Термоизоляционная панель задняя для котлов BAXI (5213250) 5210300;1 280 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5213250-800x600.jpg;"
Артикул запчасти: 5213250, 5210300"
Датчики, электроды;Датчик протока ГВС в сборе для котлов BAXI (710048100);"1 875 руб. 1 299 руб.

Цена в бонусных баллах: 1299";710048100;https://aquatermix.ru/image/cache/data-00000001-6319633-1-800x600.jpg;"
Артикул запчасти: 710048100"
Инжекторы;Инжекторы для сжиженного газа в комплекте BAXI Slim 1.400 iN (3607140) JJJ003607140;1 373 руб. 1 305 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12111111-3607130-800x600.jpg;"
Артикул запчасти: 3607140, JJJ003607140"
Датчики, электроды;Датчик Холла (протока) в сборе для котлов BAXI Eco-3, Eco-3 Compact (8435280) JJJ008435280;1 311 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-8435280-1-800x600.jpg;"
Артикул запчасти: 8435280, JJJ008435280"
Прессостаты;Прессостат предохранительный системы отопления Mater XP602 для котлов BAXI (200025385.A) 99516921P.A;"1 920 руб. 1 349 руб.

Цена в бонусных баллах: 1349";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001-9951690-1-800x600.jpg;"
Артикул запчасти: 200025385.A, 99516921P.A"
Прессостаты;Прессостат предохранительный системы отопления XP602 для котлов BAXI (9951690) JJJ009951690;1 920 руб. 1 349 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001-9951690-1-800x600.jpg;"
Артикул запчасти: 9951690, JJJ009951690"
Термоизоляция;Термоизоляционная панель передняя BAXI (5213380);1 376 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-5213380-01.jpg-800x600.jpg;"
Термоизоляционная панель передняя для настенных газовых котлов BAXI моделей:"
Баки;Трубка расширительного бака для котлов BAXI (5698830) JJJ005698830;"1 382 руб.                
Цена в бонусных баллах: 1382";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000-5698830-1-800x600.jpg;"
Артикул запчасти: 5698830, JJJ005698830"
Датчики, электроды;Датчик протока ГВС в сборе Kramer для котлов BAXI Eco-3, Eco-3 Compact (619050.A) JJJ000619050.A;1 741 руб. 1 390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000000001-619050.a-1-800x600.jpg;"
Артикул запчасти: 619050.A, JJJ000619050.A"
Моторы, трехходовые клапаны;Картридж трехходового клапана Kramer для котлов BAXI Eco-4s, Eco Home (7728745.A);1 845 руб. 1 390 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-7728745.a-1-800x600.jpg;"
Артикул запчасти: 7728745.A"
Датчики, электроды;Манометр TS для котлов BAXI (9951650.A) 200025384.A, 99516511P.A;"1 992 руб. 1 390 руб.

Цена в бонусных баллах: 1390";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-9951650.a-1-800x600.jpg;"
Исполнение: аналог"
Датчики, электроды;Манометр для котлов BAXI Eco Home, Eco-4S, Fourtech, Main Four, Westen Pulsar D, Quasar D (8922460) JJJ008922460;"1 992 руб. 1 390 руб.

Цена в бонусных баллах: 1390";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-8922460-1-800x600.jpg;"
Артикул запчасти: 8922460, JJJ008922460"
Инжекторы;Инжекторы для сжиженного газа в комплекте для котлов BAXI Slim 1.620 iN (3607160) JJJ003607160;1 469 руб. 1 395 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12111111-3607130-800x600.jpg;"
Артикул запчасти: 3607160, JJJ003607160"
Датчики, электроды;Датчик температуры NTC накладной 14 мм для котлов BAXI Main Four 18 F, Westen Quasar D 24 F (8435510) JJJ008435510;1 474 руб. 1 401 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-8435510-21-800x600.jpg;"
Артикул запчасти: 8435510, JJJ008435510"
Датчики, электроды;Датчик температуры NTC накладной для котлов BAXI, Westen (8435510) JJJ008435510;1 474 руб. 1 401 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-8435510-21-800x600.jpg;"
Датчик температуры NTC накладной 14 мм для настенных газовых котлов BAXI и Westen моделей:"
Датчики, электроды;Датчик температуры NTC погружной для котлов Baxi (8434820) JJJ008434820;1 474 руб. 1 401 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-8434820-1-800x600.jpg;"
Артикул запчасти: 8434820 (JJJ008434820)"
Датчики, электроды;Датчик температуры NTC накладной для котлов Baxi (8435500) JJJ008435500;1 410 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-8435500-21-800x600.jpg;"
Артикул запчасти: 8435500, JJJ008435500"
Датчики, электроды;Датчик Холла для котлов BAXI (710976600) 710046200;1 837 руб. 1 439 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000000001-710976600-1-800x600.jpg;"
Артикул запчасти: 710976600, 710046200"
Краны;Кран сливной G 1/2 для котлов и бойлеров BAXI Nuvola, Slim, Slim UB, UB (5646780) JJJ005646780;1 457 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12345678-5646780-1-800x600.jpg;"
Артикул запчасти: 5646780, JJJ005646780"
Датчики, электроды;Электрод контроля пламени для котлов BAXI (710220700);1 476 руб.;710220700;https://aquatermix.ru/image/cache/data-00000001-710220700-1-800x600.jpg;"
Артикул запчасти: 710220700"
Датчики, электроды;Датчик протока ГВС GTE для котлов BAXI Main, Main Digit, Westen Quasar Plus (5663770) JJJ005663770;1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000111-5663770.g-1-800x600.jpg;"
Артикул запчасти: 5663770.G, JJJ005663770.G"
Датчики, электроды;Датчик протока ГВС в сборе картридж фильтра ГВС Kramer для котлов BAXI Eco Four, Luna-3, Luna-3 Comfort (620340.A) JJJ000620340.A;2 101 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000001-620340.a-1-800x600.jpg;"
Артикул запчасти: 620340.A, JJJ000620340.A"
Моторы, трехходовые клапаны;Картридж трехходового клапана для котлов BAXI (711356900.A) 7726370.A;"2 040 руб. 1 490 руб.

Цена в бонусных баллах: 1490";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-01-711356900.a-1-800x600.jpg;"
Артикул запчасти: 711356900.A, 7726370.A"
Пневмореле;Пневмореле Huba Control 115/95 Pa для котлов BAXI Eco, Eco-3, Luna, Luna-3, Luna-3 Comfort (721890800.A);1 990 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-011-115-95-1-800x600.jpg;"
Пневмореле Yuba Control 115/95 Pa (1,15-0,95 мбар) для настенных газовых котлов BAXI моделей:"
Пневмореле;Пневмореле Huba Control 70/60 Pa без проводки для котлов BAXI (721890300) 710789900;"1 990 руб. 1 490 руб.

Цена в бонусных баллах: 1490";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-001-70-60-1-800x600.jpg;"
Артикул запчасти: 721890300, 710789900, 628770, JJJ000628770"
Пневмореле;Пневмореле Huba Control 70/60 Pa для котлов BAXI Eco Nova, Eco Classic (200025381) 57008821P, 5700882;"1 990 руб. 1 490 руб.

Цена в бонусных баллах: 1490";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-001-70-60-1-800x600.jpg;"
Артикул запчасти: 200025381, 57008821P, 5700882"
Пневмореле;Пневмореле Huba Control 90/75 Pa без проводки для BAXI Slim (721890400) 710790000;"1 990 руб. 1 490 руб.

Цена в бонусных баллах: 1490";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-90-75-1-800x600.jpg;"
Артикул запчасти: 721890400, 710790000"
Датчики, электроды;Реле давления воздуха (пневмореле) Huba Control 135/120 Pa;1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-135-120-1-800x600.jpg;"
Отправка в день заказа транспортной компанией или почтой "
Датчики, электроды;Реле давления воздуха (пневмореле) Huba Control 165/150 Pa для котлов;1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000011111-165-150-1-800x600.jpg;"
Отправка в день заказа транспортной компанией или почтой "
Датчики, электроды;Реле давления воздуха (пневмореле) HYP 0,40 mbar для котлов;1 990 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-hyp040-1-800x600.jpg;"
Реле давления (маностат, пневмореле, дифференциальноре реле) 0,40 mbar для газовых котлов"
Датчики, электроды;Реле давления воздуха (пневмореле) HYP 0,60 mbar для котлов;1 990 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-hyp060-1-800x600.jpg;"
Реле давления (маностат, пневмореле, дифференциальноре реле) 0,60 mbar для газовых котлов"
Датчики, электроды;Реле давления воздуха (пневмореле) HYP 0,92 mbar для котлов;1 990 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-hyp092-1-800x600.jpg;"
Реле давления (маностат, пневмореле, дифференциальноре реле) 0,92 mbar для газовых котлов"
Датчики, электроды;Реле давления воздуха (пневмореле) HYP 1.65 mbar для котлов;1 990 руб. 1 490 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000111111-hyp165-1-800x600.jpg;"
Реле давления (маностат, пневмореле, дифференциальноре реле) 1,65 mbar для газовых котлов"
Baxi;Термостат комнатный регулируемый IMIT ТАЗ (546030) 546030/B с лампочкой индикации работы;1 490 руб.;546030;https://aquatermix.ru/image/cache/data-000000000001-546030-1-800x600.jpg;"
Артикул запчасти: 546030"
Гидравлические группы;Предохранительный клапан Bitron 3 бар для котлов BAXI (7728736.A);"2 000 руб. 1 499 руб.

Цена в бонусных баллах: 1499";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0000-3980i040-1-800x600.jpg;"
Артикул запчасти: 7728736.A"
Инжекторы;Инжекторы для сжиженного газа в комплекте для котлов BAXI Slim 1.300, 2.300 (3607130) JJJ003607130;1 581 руб. 1 502 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12111111-3607130-800x600.jpg;"
	 "
Краны;Кран наполнения системы в сборе для котлов BAXI Eco, Luna (5630180);1 586 руб. 1 507 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001111-5630180-800x600.jpg;"
Артикул запчасти: 5630180, JJJ005630180"
Датчики, электроды;Микропереключатель с кабелем для котлов BAXI (5641800) JJJ005641800;1 515 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000001-5641800-1-800x600.jpg;"
Артикул запчасти: 5641800 (JJJ005641800)"
Насосы;Воздухоотводчик автоматический для котлов BAXI (607290) JJJ000607290;1 610 руб. 1 529 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-123-607290-21-800x600.jpg;"
Артикул запчасти: 607290 (JJJ000607290)"
Датчики, электроды;Термостат предохранительный отходящих газов 60 С (датчик тяги) для котлов BAXI (606930) JJJ000606930;1 707 руб. 1 536 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1-606930-1-800x600.jpg;"
Термостат предохранительный отходящих газов 60 °C для газовых котлов BAXI моделей:"
Датчики, электроды;Термостат предохранительный отходящих газов 70 С (датчик тяги) для котлов BAXI (600870) JJJ000600870;1 707 руб. 1 536 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-1baxi-600870-1-800x600.jpg;"
Артикул запчасти: 600870, JJJ000600870"
Датчики, электроды;Термостат предохранительный отходящих газов 70 С (датчик тяги) для котлов BAXI (616160) JJJ000616160;1 707 руб. 1 536 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-13-616160-1-800x600.jpg;"
Термостат предохранительный отходящих газов 70 °C (датчик тяги) для настенных газовых котлов BAXI моделей:"
NUVOLA-3;Термоизоляционная панель передняя для котлов BAXI (5213410);1 543 руб.;5213410;https://aquatermix.ru/image/cache/data-1211111-5213410-1-800x600.jpg;"
Артикул запчасти: 5213410"
Прессостаты;Прессостат предохранительный системы отопления для котлов BAXI (200025385) 99516921P, 9951692;1 627 руб. 1 545 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1111111111-200025385-2-800x600.jpg;"
Артикул запчасти: 200025385, 99516921P, 9951692"
Датчики, электроды;Электрод розжига для котлов BAXI Slim (8620350) JJJ008620350;1 560 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000001-8620350-1-800x600.jpg;"
Артикул запчасти: 8620350, JJJ008620350"
Датчики, электроды;Электрод для котлов BAXI Eco Compact, Eco-5 Compact, Main-5 (711404900);1 660 руб. 1 577 руб.;711404900;https://aquatermix.ru/image/cache/data-00000001-711404900-1-800x600.jpg;"
Артикул запчасти: 711404900"
Гидравлические группы;"Воздухоотводчик автоматический 3/8"" для котлов BAXI (5625830)";1 664 руб. 1 581 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1213-5625830-1-800x600.jpg;"
Артикул запчасти: 5625830, JJJ005625830"
Моторы, трехходовые клапаны;Картридж трехходового клапана Bitron для котлов BAXI (721403800) 710144100;1 990 руб. 1 590 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-1-800x600.jpg;"
Артикул запчасти: 721403800, 710144100"
Моторы, трехходовые клапаны;Картридж трехходового клапана для котлов BAXI Eco Classic, Eco Nova (6610410001) 200024701;"2 200 руб. 1 590 руб.

Цена в бонусных баллах: 1590";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00011-6610410001-1-800x600.jpg;"
Артикул запчасти: 6610410001, 200024701"
Устройства розжига;Устройство розжига ZAG 2 XV 01 для котлов BAXI (8435260);"2 000 руб. 1 590 руб.

Цена в бонусных баллах: 1590";8435260;https://aquatermix.ru/image/cache/data-0000-8435260-1-800x600.jpg;"
Артикул запчасти: 8435260"
Гидравлические группы;Предохранительный клапан 3 бар для котлов BAXI (7728736);1 682 руб. 1 598 руб.;7728736;https://aquatermix.ru/image/cache/data-00001111-7728736-1-800x600.jpg;"
Артикул запчасти: 7728736"
Прессостаты;Прессостат предохранительный системы отопления для котлов BAXI Main-5 (710371000);"1 900 руб. 1 599 руб.

Цена в бонусных баллах: 1599";710371000;https://aquatermix.ru/image/cache/data-000000001-710371000-1-800x600.jpg;"
Артикул запчасти: 710371000"
Датчики, электроды;Термостат защитный BAXI (711427700);1 615 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1211-711427700-1-800x600.jpg;"
	 "
Краны;Кран наполнения системы в сборе G1/4 для котлов Baxi Main, Main Digit (5667980) JJJ005667980;1 763 руб. 1 675 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-123456-5667980-21-800x600.jpg;"
Артикул запчасти: 5667980, JJJ005667980"
Инжекторы;Инжекторы для сжиженного газа в комплекте для котлов BAXI Slim 1.490 iN (3607150) JJJ003607150;1 767 руб. 1 679 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-12111111-3607130-800x600.jpg;"
	 "
Краны;Кран заполнения для котлов BAXI (766947000.A) 768777500.A, 710046600.A;2 256 руб. 1 680 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001-65114261-1-800x600.jpg;"
Артикул запчасти: 766947000.A, 768777500.A, 710046600.A"
Датчики, электроды;Термостат предохранительный 105 °C для котлов BAXI (9950760) JJJ009950760;1 707 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-b-baxi-9950760-01.jpg-800x600.jpg;"
         "
Датчики, электроды;Термостат предохранительный 105 С для котлов BAXI (9951610) JJJ009951610;1 707 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-baxi-9951610-1-800x600.jpg;"
        "
Гидравлические группы;Клапан предохранительный бойлера 8 бар BAXI (9950620) JJJ009950620;"1 710 руб.                
Цена в бонусных баллах: 1710";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-1212-9950620-1-800x600.jpg;"
Артикул запчасти: 9950620, JJJ009950620"
Датчики, электроды;Датчик Холла (протока) в сборе для котлов BAXI Eco Four, Luna-3, Luna-3 Comfort (8435380) JJJ008435380;1 813 руб. 1 722 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-a-baxi-8435380-2-800x600.jpg;"
Артикул запчасти: 8435380, JJJ008435380"
Моторы, трехходовые клапаны;Затвор ГВС для котлов BAXI (600760) JJJ000600760;1 850 руб. 1 757 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000000000-600760-800x600.png;"
Артикул запчасти: 600760, JJJ000600760"
Термоизоляция;Термоизоляционная панель боковая для котлов BAXI (5213170) 5210310 ;1 761 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000000-5213170-800x600.jpg;"
Артикул запчасти: 5213170, 5210310"
Моторы, трехходовые клапаны;Мотор трехходового клапана для котлов BAXI (5694580) JJJ005694580, 5647340;"2 350 руб. 1 790 руб.

Цена в бонусных баллах: 1790";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001-61302483-3-800x600.jpg;"
Артикул запчасти: 5694580, JJJ005694580, 5647340, JJJ005647340"
Моторы, трехходовые клапаны;Мотор трехходового клапана для котлов BAXI Eco Classic, Eco Nova (200025379) YYY005694581, 5694581;2 350 руб. 1 790 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00001-61302483-3-800x600.jpg;"
Eco Classic 10 F
Eco Classic 14 F
Eco Classic 18 F
	Eco Classic 24 F
Eco Nova 10 F
Eco Nova 14 F
Eco Nova 18 F
Eco Nova 24 F"
Гидравлические группы;Бай-пасс в сборе для котлов BAXI (710048300);1 899 руб. 1 805 руб.;710048300;https://aquatermix.ru/image/cache/data-a-1baxi-710048300-1-800x600.jpg;"
Артикул запчасти: 710048300"
Краны;Кран наполнения системы в сборе для котлов BAXI (611930) JJJ000611930;1 822 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-000011-611930-1-800x600.jpg;"
Артикул запчасти: 611930, JJJ000611930"
Датчики, электроды;Электрод розжига (контроля пламени) для котлов BAXI (8422570) JJJ008422570;1 829 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-00000001-8422570-1-800x600.jpg;"
Артикул запчасти: 8422570, JJJ008422570"
Прессостаты;Предохранительный прессостат системы отопления для котлов BAXI (721384000) 710048500;1 853 руб.;Артикул продукта не найден;https://aquatermix.ru/image/cache/data-0001-87186445850-1-800x600.jpg;"
Артикул запчасти: 721384000, 710048500"
Насосы;Воздухоотводчик автоматический для котлов BAXI Eco Home, Eco-4s (710493600);2 648 руб. 1 890 руб.;710493600;https://aquatermix.ru/image/cache/data-0001111-710493600-1-800x600.jpg;"
Артикул запчасти: 710493600"
Датчики, электроды;Манометр для котлов BAXI Slim (9930040) JJJ009930040;"2 500 руб. 1 890 руб.

Цена в бонусных баллах: 1890";Артикул продукта не найден;https://aquatermix.ru/image/cache/data-123456-9930040-21-800x600.jpg;"
Артикул запчасти: 9930040, JJJ009930040"
